001	美孚1号机油	升	美孚	保养用品	通用系列	001	4	默认仓库	0.0000	680.0000	0.0000	0.0000	0.0000	0.0000	
003	瓦尔塔电池	个	瓦尔塔	快修用品	通用系列	003		默认仓库	0.0000	680.0000	0.0000	370.0000	0.0000	0.0000	
006	铁将军太阳能胎压监视器T179	套	铁将军	汽车用品	通用系列	006	T179	默认仓库	0.0000	1380.0000	0.0000	730.0000	0.0000	0.0000	
007	行车记录仪+行车记录仪	套	铁将军	汽车用品	通用系列	007		默认仓库	0.0000	1180.0000	0.0000	0.0000	0.0000	0.0000	
008	其它	瓶	米其林	美容用品	通用系列	008		默认仓库	-1550.0000	100.0000	-155000.0000	0.0000	0.0000	-155000.0000	
009	雨刮片	条	其它	快修用品	通用系列	009		默认仓库	1.0000	50.0000	50.0000	35.0000	35.0000	15.0000	
010	亚路发DCC双核漆面镀晶	套	亚路发	美容用品	通用系列		DCC	默认仓库	2.0000	5880.0000	11760.0000	1080.0000	2160.0000	9600.0000	
012	法雷奥优静无骨雨刮片16寸	条	其它	汽车用品	专车专用		16	默认仓库	1.0000	140.0000	140.0000	56.0000	56.0000	84.0000	
013	朗龙挂式香水	支		汽车用品	通用系列			默认仓库	10.0000	118.0000	1180.0000	59.0000	590.0000	590.0000	
014	午阳真皮	套		汽车用品				默认仓库	0.0000	3221.0000	0.0000	0.0000	0.0000	0.0000	
018	铁将军胎压监测报警器T213	套	铁将军	汽车用品	通用系列		T213	默认仓库	0.0000	1280.0000	0.0000	650.0000	0.0000	0.0000	
020	360全景可视倒车系统	套		汽车用品				默认仓库	2.0000	3880.0000	7760.0000	0.0000	0.0000	7760.0000	
021	飞雨滑水高效玻璃水	瓶	其它	美容用品	通用系列		2L	默认仓库	16.0000	180.0000	2880.0000	70.0000	1120.0000	1760.0000	
022	亚路发Z0超值体验镀晶	套	亚路发	美容用品	通用系列		套	默认仓库	5.0000	1680.0000	8400.0000	380.0000	1900.0000	6500.0000	
023	亚路发Z1+极光漆面镀晶	套	亚路发	美容用品	通用系列		套	默认仓库	6.0000	0.0000	0.0000	780.0000	4680.0000	-4680.0000	
024	z5纳米魔术亮晶套装	套	亚路发	美容用品	通用系列		套	默认仓库	2.0000	1280.0000	2560.0000	210.0000	420.0000	2140.0000	
025	朗龙挂式玉玺香水	个	其它	汽车用品	通用系列			默认仓库	0.0000	268.0000	0.0000	118.0000	0.0000	0.0000	
026	朗龙净味碳膏	个	其它	汽车用品	通用系列			默认仓库	6.0000	118.0000	708.0000	56.0000	336.0000	372.0000	
027	法雷奥优静无骨雨刮片17寸	条	其它	汽车用品	通用系列		17	默认仓库	0.0000	140.0000	0.0000	56.0000	0.0000	0.0000	
028	法雷奥优静无骨雨刮片18寸	条	其它	汽车用品	通用系列		18	默认仓库	3.0000	140.0000	420.0000	56.0000	168.0000	252.0000	
029	法雷奥优静无骨雨刮片19寸	条	其它	汽车用品	通用系列		19	默认仓库	1.0000	140.0000	140.0000	59.0000	59.0000	81.0000	
030	法雷奥优静无骨雨刮片20寸	条	其它	汽车用品	通用系列		20	默认仓库	1.0000	118.0000	118.0000	59.0000	59.0000	59.0000	
031	法雷奥优静无骨雨刮片21寸	条	其它	汽车用品	通用系列		21	默认仓库	1.0000	140.0000	140.0000	59.0000	59.0000	81.0000	
032	法雷奥优静无骨雨刮片22寸	条	其它	汽车用品	通用系列		22	默认仓库	1.0000	140.0000	140.0000	59.0000	59.0000	81.0000	
033	法雷奥传统有骨雨刮片17寸	条	其它	汽车用品	通用系列		17	默认仓库	1.0000	120.0000	120.0000	18.0000	18.0000	102.0000	
034	法雷奥传统有骨雨刮片18寸	条	其它	汽车用品	通用系列		18	默认仓库	1.0000	60.0000	60.0000	18.0000	18.0000	42.0000	
035	法雷奥传统有骨雨刮片19寸	条	其它	汽车用品	通用系列		19	默认仓库	3.0000	60.0000	180.0000	20.0000	60.0000	120.0000	
036	法雷奥传统有骨雨刮片20寸	条	其它	汽车用品	通用系列		20	默认仓库	2.0000	60.0000	120.0000	20.0000	40.0000	80.0000	
037	净宝	套	其它	美容用品	通用系列			默认仓库	0.0000	880.0000	0.0000	330.0000	0.0000	0.0000	
038	温馨香媛	套	其它	美容用品	通用系列			默认仓库	4.0000	580.0000	2320.0000	180.0000	720.0000	1600.0000	
039	洁仕	套	其它	耗材	通用系列			默认仓库	-34.6600	0.0000	0.0000	42.0000	-1455.7200	1455.7200	
040	铁将军胎压智感700	套	铁将军	汽车用品	通用系列			默认仓库	1.0000	499.0000	499.0000	430.0000	430.0000	69.0000	
041	铁将军胎压智感850	套	铁将军	汽车用品	通用系列			默认仓库	0.0000	699.0000	0.0000	480.0000	0.0000	0.0000	
042	标榜泡沫剂	支	其它	美容用品	通用系列			默认仓库	-1.0000	28.0000	-28.0000	5.2000	-5.2000	-22.8000	
043	标榜柏油清洁剂	支	其它	耗材	通用系列			默认仓库	0.0000	0.0000	0.0000	6.3000	0.0000	0.0000	
044	和流香香膏	盒	其它	汽车用品	通用系列			默认仓库	29.0000	88.0000	2552.0000	40.0000	1160.0000	1392.0000	
045	和流香挂式香水	瓶	其它	汽车用品	通用系列			默认仓库	8.0000	138.0000	1104.0000	75.0000	600.0000	504.0000	
046	百适通空调清洗除味套装	升	其它	美容用品	通用系列			默认仓库	4.0000	480.0000	1920.0000	98.0000	392.0000	1528.0000	
047	百适通防冻液（绿色）2L	升	其它	美容用品	通用系列		2L	默认仓库	5.0000	98.0000	490.0000	33.0000	165.0000	325.0000	
048	百适通防冻液（绿色）4L	升	其它	美容用品	通用系列		4L	默认仓库	5.0000	168.0000	840.0000	65.0000	325.0000	515.0000	
049	瓦尔塔电池H8-90LT2H	个	其它	汽车用品	通用系列		H8-90LT2H	默认仓库	1.0000	1680.0000	1680.0000	788.0000	788.0000	892.0000	
050	瓦尔塔电池H8-100LT2H	个	米其林	汽车用品	通用系列		H8-100LT2H	默认仓库	1.0000	1800.0000	1800.0000	950.0000	950.0000	850.0000	
051	欧司朗氙气灯泡H1 12V 55W	盒	其它	汽车用品	通用系列		H1 12V 55W	默认仓库	1.0000	280.0000	280.0000	145.0000	145.0000	135.0000	
052	欧司朗氙气灯泡H4 12V 55W	盒	其它	汽车用品	通用系列		H4 12V 55W	默认仓库	1.0000	280.0000	280.0000	155.0000	155.0000	125.0000	
053	欧司朗氙气灯泡H7 12V 55W	盒	其它	汽车用品	通用系列		H7 12V 55W	默认仓库	1.0000	280.0000	280.0000	158.0000	158.0000	122.0000	
054	欧司朗氙气灯泡H11 12V 55W	盒	其它	汽车用品	通用系列		H11 12V 55W	默认仓库	1.0000	380.0000	380.0000	195.0000	195.0000	185.0000	
055	欧司朗氙气灯泡HB4 12V 55W	盒	其它	汽车用品	通用系列		HB4  12V  55W	默认仓库	1.0000	280.0000	280.0000	155.0000	155.0000	125.0000	
056	欧司朗氙气灯泡（9006）H1 12V 55W	盒	其它	汽车用品	通用系列		H1 12V 55W	默认仓库	0.0000	280.0000	0.0000	145.0000	0.0000	0.0000	
057	欧司朗氙气灯泡（9006）H3 12V 55W	盒	其它	汽车用品	通用系列		H3 12V 55W	默认仓库	1.0000	280.0000	280.0000	155.0000	155.0000	125.0000	
058	欧司朗氙气灯泡（9006）H4 12V 55W	盒	其它	汽车用品	通用系列		HA  12V  55W	默认仓库	1.0000	280.0000	280.0000	155.0000	155.0000	125.0000	
059	欧司朗氙气灯泡（9006）H11 12V 55W	盒	其它	汽车用品	通用系列		H11 12V 55W	默认仓库	1.0000	380.0000	380.0000	195.0000	195.0000	185.0000	
060	欧司朗氙气灯泡（9006）HB4 12V 55W	盒	其它	汽车用品	通用系列		HB4 12V 55W	默认仓库	0.0000	280.0000	0.0000	155.0000	0.0000	0.0000	
061	亚路发Z3水晶镀膜	支	其它	美容用品	通用系列			默认仓库	9.0000	280.0000	2520.0000	75.0000	675.0000	1845.0000	
062	蓝狐红酒	瓶	其它	汽车用品	其它系列			默认仓库	-1.0000	200.0000	-200.0000	0.0000	0.0000	-200.0000	
063	干车小毛巾	条	其它	耗材	其它系列			默认仓库	0.0000	0.0000	0.0000	3.5000	0.0000	0.0000	
064	干车大毛巾	条	其它	耗材	其它系列			默认仓库	0.0000	0.0000	0.0000	17.0000	0.0000	0.0000	
065	3M去污泥	个	其它	耗材	其它系列			默认仓库	0.0000	0.0000	0.0000	83.0000	0.0000	0.0000	
066	洗车海绵	个	其它	耗材	其它系列			默认仓库	100.0000	0.0000	0.0000	2.0000	200.0000	-200.0000	
